[*, Scripps] Frank 10 Frary 5 Collins 5 Hoch 5 McConnell 5 Mallot 2
[*, CMC] Frank 9 Frary 4 Collins 2 Hoch 8 McConnell 6 Mallot 3
[*, Mudd] Frank 15 Frary 10 Collins 10 Hoch 2 McConnell 8 Mallot 7
[*, Pitzer] Frank 17 Frary 12 Collins 7 Hoch 7 McConnell 2 Mallot 7;

param mealExists :=
[*, Breakfast] Monday 1 Tuesday 1 Wednesday 1 Thursday 1 Friday 1 Saturday 0 Sunday 0
[*, Brunch] Monday 0 Tuesday 0 Wednesday 0 Thursday 0 Friday 0 Saturday 1 Sunday 1
[*, Lunch] Monday 1 Tuesday 1 Wednesday 1 Thursday 1 Friday 1 Saturday 0 Sunday 0
[*, Dinner] Monday 1 Tuesday 1 Wednesday 1 Thursday 1 Friday 1 Saturday 1 Sunday 1;

param preMealLocation :=
[Monday, Breakfast, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Tuesday, Breakfast, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Wednesday, Breakfast, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Thursday, Breakfast, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Friday, Breakfast, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Saturday, Breakfast, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Sunday, Breakfast, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Monday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Tuesday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Wednesday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Thursday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Friday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Saturday, Brunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Sunday, Brunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Monday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Tuesday, Lunch, *] Pomona 0 Scripps 0 CMC 1 Pitzer 0 Mudd 0
[Wednesday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Thursday, Lunch, *] Pomona 0 Scripps 0 CMC 1 Pitzer 0 Mudd 0
[Friday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Saturday, Lunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Sunday, Lunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Monday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Tuesday, Dinner, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 1
[Wednesday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Thursday, Dinner, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 1
[Friday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Saturday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Sunday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0;

param postMealLocation :=
[Monday, Breakfast, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 1
[Tuesday, Breakfast, *] Pomona 0 Scripps 1 CMC 0 Pitzer 0 Mudd 0
[Wednesday, Breakfast, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 1
[Thursday, Breakfast, *] Pomona 0 Scripps 1 CMC 0 Pitzer 0 Mudd 0
[Friday, Breakfast, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 1
[Saturday, Breakfast, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Sunday, Breakfast, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Monday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Tuesday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Wednesday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Thursday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Friday, Brunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Saturday, Brunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Sunday, Brunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Monday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Tuesday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Wednesday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Thursday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Friday, Lunch, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Saturday, Lunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Sunday, Lunch, *] Pomona 0 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Monday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Tuesday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Wednesday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Thursday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Friday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0
[Saturday, Dinner, *] Pomona 0 Scripps 1 CMC 0 Pitzer 0 Mudd 0
[Sunday, Dinner, *] Pomona 1 Scripps 0 CMC 0 Pitzer 0 Mudd 0;

param rushFactor :=
[*, Breakfast]		Monday 30 Tuesday 30 Wednesday 30 Thursday 30 Friday 30 Saturday 1000 Sunday 1000
[*, Brunch]	Monday 1000 Tuesday 1000 Wednesday 1000 Thursday 1000 Friday 1000 Saturday 90 Sunday 90 
[*, Lunch]		Monday 60 Tuesday 60 Wednesday 60 Thursday 60 Friday 60 Saturday 1000 Sunday 1000
[*, Dinner]	Monday 75 Tuesday 75 Wednesday 75 Thursday 75 Friday 75 Saturday 90 Sunday 90;

param varietyFactor := Breakfast 1 Brunch 6 Lunch 4 Dinner 8;

param dailyVarietyFactor := 5;

param restrictionActual := None 1 Vegan 0 Allergies 0;

param mealImportance := Breakfast  .5 Brunch  1 Lunch  1 Dinner 1;
